name,price,change,change%,high,low
凱基台灣精五門基金,3.57,4.86,3.70,40.88,42.17
元大經貿基金,32.75,37.99,16.68,4.33,29.62
宏利臺灣股息收益基金,35.88,12.80,21.38,22.26,4.10
摩根台灣增長基金,5.95,5.02,8.80,23.23,27.42
富蘭克林華美第一富基金,31.36,38.35,39.60,7.80,35.44
景順主流基金,35.88,37.38,24.38,0.28,1.16
路博邁AR台灣股票基金T累積型,8.24,6.77,25.60,0.21,0.83
統一黑馬基金,37.32,9.97,44.12,0.35,0.80
瀚亞外銷基金,60.53,4.78,15.58,0.10,0.65
德銀遠東DWS台灣旗艦基金,26.97,9.24,45.53,0.04,0.09
野村成長基金,45.61,6.56,62.99,0.03,0.05
景順潛力基金,22.86,6.26,22.53,0.01,0.04
元大多多基金,47.63,8.39,11.09,0.00,0.00
復華復華基金,64.94,6.38,21.41,24.83,4.45
凱基全球高效平衡基金A不配息(美元)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),29.78,3.13,3.52,35.20,38.92
元大卓越基金,16.79,20.45,14.82,3.50,38.14
華南永昌物聯網精選基金,19.61,14.06,24.69,34.25,8.10
野村鴻運基金,8.73,7.31,8.46,10.53,12.33
匯豐成功基金,38.85,51.34,20.51,4.96,45.17
元大二○○一基金,49.39,19.35,45.18,47.88,6.53
野村優質基金,3.43,9.83,7.06,85.6100,29.2400
野村台灣運籌基金,48.22,19.21,0.74,39.6400,22.4900
凱基全球高效平衡基金B配息(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),18.44,0.6000,0.69,20.4800,19.6100
凱基全球高效平衡基金A不配息(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),81.4700,0.2600,0.65,22.3200,19.4200
貝萊德寶利基金,37.7900,0.1300,0.62,39.0900,11.8100
野村積極成長基金,20.1800,0.1300,0.60,17.4700,6.4600
日盛日盛基金,21.0200,0.2100,0.49,24.9620,7.0180
復華高成長基金,35.3000,0.0800,0.43,28.7100,10.0700
日盛首選基金,16.3300,0.1050,0.38,28.6000,12.8200
瀚亞菁華基金,24.2630,0.0900,0.32,56.0700,17.3400
元大新主流基金,23.8500,0.0800,0.23,21.5200,18.7900
宏利台灣動力基金,24.9200,0.1200,0.16,31.0300,29.7600
